i,t_v,tensión(V)
0,1668005039.0534277,-2.45016000E-04

0,1668005039.583428,-2.45016000E-04

0,1668005040.103428,-2.45183000E-04

0,1668005040.6334276,-2.44975000E-04

0,1668005041.1534276,-2.45152000E-04

0,1668005041.6834278,-2.45152000E-04

0,1668005042.2034278,-2.45454000E-04

0,1668005042.7334278,-2.45297000E-04

0,1668005043.2624278,-2.45683000E-04

0,1668005043.7824278,-2.65521000E-04

0,1668005044.3124278,-2.44787000E-04

0,1668005044.842428,-2.45068000E-04

0,1668005045.362428,-2.46900000E-04

0,1668005045.8924277,-2.46317000E-04

0,1668005046.4124277,-2.45225000E-04

0,1668005046.9424279,-2.47233000E-04

0,1668005047.4624279,-2.47244000E-04

0,1668005047.9924278,-2.45558000E-04

0,1668005048.514428,-2.46151000E-04

0,1668005049.0444279,-2.47691000E-04

0,1668005049.5644279,-2.47577000E-04

0,1668005050.0944278,-2.46390000E-04

0,1668005050.6144278,-2.47275000E-04

0,1668005051.1444278,-2.48004000E-04

0,1668005051.6644278,-2.47806000E-04

0,1668005052.194428,-2.47837000E-04

0,1668005052.7154279,-2.48295000E-04

0,1668005053.2454276,-2.48555000E-04

0,1668005053.7654278,-2.49055000E-04

0,1668005054.2954278,-2.48920000E-04

0,1668005054.8154278,-2.48711000E-04

0,1668005055.3454278,-2.48888000E-04

0,1668005055.8754277,-2.49690000E-04

0,1668005056.395428,-2.49430000E-04

0,1668005056.9254277,-2.48826000E-04

0,1668005057.4464278,-2.48534000E-04

0,1668005057.9764278,-2.50148000E-04

0,1668005058.4964278,-2.49221000E-04

0,1668005059.026428,-2.48534000E-04

0,1668005059.546428,-2.48337000E-04

0,1668005060.0764277,-2.51012000E-04

0,1668005060.5964277,-2.48545000E-04

0,1668005061.126428,-2.50096000E-04

0,1668005061.6464279,-2.49169000E-04

0,1668005062.1764278,-2.51688000E-04

0,1668005062.6964278,-2.49367000E-04

0,1668005063.2264278,-2.45297000E-04

0,1668005063.746428,-2.45776000E-04

0,1668005064.2754278,-2.47244000E-04

0,1668005064.8054278,-2.47150000E-04

0,1668005065.3254278,-2.46297000E-04

0,1668005065.8554277,-2.46651000E-04

0,1668005066.3754277,-2.47109000E-04

0,1668005066.9054277,-2.47712000E-04

0,1668005067.4254277,-2.47067000E-04

0,1668005067.955428,-2.47900000E-04

0,1668005068.4754279,-2.44319000E-04

0,1668005069.0054276,-2.41009000E-04

0,1668005069.5354278,-2.45735000E-04

0,1668005070.0554278,-2.44038000E-04

0,1668005070.5854278,-2.40541000E-04

0,1668005071.1054277,-2.40072000E-04

0,1668005071.635428,-2.39469000E-04

0,1668005072.155428,-2.40052000E-04

0,1668005072.6804278,-2.32922000E-04

0,1668005073.198428,-2.37918000E-04

0,1668005073.7414277,-2.39958000E-04

0,1668005074.2614276,-2.41446000E-04

0,1668005074.7914279,-2.36783000E-04

0,1668005075.3114278,-2.36388000E-04

0,1668005075.8414278,-2.35357000E-04

0,1668005076.3684278,-2.21295000E-04

0,1668005076.8884277,-2.26312000E-04

0,1668005077.418428,-2.18683000E-04

0,1668005077.9424279,-2.18693000E-04

0,1668005078.4724278,-2.24210000E-04

0,1668005078.9924278,-2.29414000E-04

0,1668005079.5214276,-2.34264000E-04

0,1668005080.0514278,-2.22222000E-04

0,1668005080.5714278,-2.24886000E-04

0,1668005081.1014278,-2.28540000E-04

0,1668005081.6214278,-2.32714000E-04

0,1668005082.1514277,-2.13083000E-04

0,1668005082.6814277,-2.23523000E-04

0,1668005083.2014277,-2.26042000E-04

0,1668005083.731428,-2.18922000E-04

0,1668005084.251428,-2.19661000E-04

0,1668005084.7814276,-2.22524000E-04

0,1668005085.3014276,-2.14395000E-04

0,1668005085.8314278,-2.17819000E-04

0,1668005086.3514278,-2.15425000E-04

0,1668005086.8814278,-2.16612000E-04

0,1668005087.4014277,-2.11636000E-04

0,1668005087.931428,-2.12157000E-04

0,1668005088.451428,-2.06349000E-04

0,1668005088.9814277,-2.04173000E-04

0,1668005089.5114279,-2.05808000E-04

0,1668005090.0314279,-2.02456000E-04

0,1668005090.5614276,-2.05797000E-04

0,1668005091.0814278,-2.08181000E-04

0,1668005091.6054277,-2.02893000E-04

0,1668005092.135428,-2.03330000E-04

0,1668005092.6564279,-2.04704000E-04

0,1668005093.1864278,-2.05880000E-04

0,1668005093.7064278,-2.05173000E-04

0,1668005094.2364278,-2.01675000E-04

0,1668005094.7564278,-1.97012000E-04

0,1668005095.286428,-2.02675000E-04

0,1668005095.806428,-1.90330000E-04

0,1668005096.3364277,-2.03747000E-04

0,1668005096.866428,-2.03736000E-04

0,1668005097.3904278,-2.05964000E-04

0,1668005097.9104278,-2.05152000E-04

0,1668005098.4404278,-2.02248000E-04

0,1668005098.9614277,-1.97720000E-04

0,1668005099.491428,-1.92224000E-04

0,1668005100.0114279,-1.92953000E-04

0,1668005100.5414276,-1.89518000E-04

0,1668005101.0614276,-1.94587000E-04

0,1668005101.5854278,-1.94483000E-04

0,1668005102.1154277,-1.94608000E-04

0,1668005102.639428,-1.93234000E-04

0,1668005103.159428,-1.92172000E-04

0,1668005103.6894276,-1.89185000E-04

0,1668005104.2094276,-1.84626000E-04

0,1668005104.7404277,-1.89071000E-04

0,1668005105.2604277,-1.91381000E-04

0,1668005105.790428,-1.87884000E-04

0,1668005106.320428,-1.83127000E-04

0,1668005106.8404279,-1.82097000E-04

0,1668005107.3644278,-1.74572000E-04

0,1668005107.894428,-1.75581000E-04

0,1668005108.4234278,-1.72604000E-04

0,1668005108.9434278,-1.72615000E-04

0,1668005109.4734278,-1.76247000E-04

0,1668005109.9934278,-1.77247000E-04

0,1668005110.5234277,-1.75883000E-04

0,1668005111.0534277,-1.73812000E-04

0,1668005111.5734277,-1.72823000E-04

0,1668005112.103428,-1.74457000E-04

0,1668005112.6244278,-1.76403000E-04

0,1668005113.154428,-1.76403000E-04

0,1668005113.678428,-1.74769000E-04

0,1668005114.2084277,-1.72573000E-04

0,1668005114.728428,-1.70648000E-04

0,1668005115.2584279,-1.66786000E-04

0,1668005115.7784278,-1.64611000E-04

0,1668005116.3084278,-1.69211000E-04

0,1668005116.838428,-1.69471000E-04

0,1668005117.358428,-1.70158000E-04

0,1668005117.8884277,-1.69898000E-04

0,1668005118.4084277,-1.68212000E-04

0,1668005118.938428,-1.64725000E-04

0,1668005119.4594278,-1.65298000E-04

0,1668005119.9894278,-1.67692000E-04

0,1668005120.5194278,-1.67015000E-04

0,1668005121.0394278,-1.65766000E-04

0,1668005121.5694277,-1.66880000E-04

0,1668005122.0894277,-1.65266000E-04

0,1668005122.619428,-1.67869000E-04

0,1668005123.139428,-1.64069000E-04

0,1668005123.6694276,-1.64455000E-04

0,1668005124.1894276,-1.60968000E-04

0,1668005124.7194278,-1.62383000E-04

0,1668005125.2394278,-1.62571000E-04

0,1668005125.7694278,-1.67587000E-04

0,1668005126.2894278,-1.63965000E-04

0,1668005126.8194277,-1.60062000E-04

0,1668005127.339428,-1.55555000E-04

0,1668005127.8694277,-1.58480000E-04

0,1668005128.399428,-1.57627000E-04

0,1668005128.9194279,-1.56305000E-04

0,1668005129.4494276,-1.53588000E-04

0,1668005129.9694278,-1.49862000E-04

0,1668005130.4994278,-1.54181000E-04

0,1668005131.0194278,-1.54015000E-04

0,1668005131.5494277,-1.54514000E-04

0,1668005132.0694277,-1.52547000E-04

0,1668005132.6014278,-1.53297000E-04

0,1668005133.1204278,-1.52662000E-04

0,1668005133.6504278,-1.50393000E-04

0,1668005134.1704278,-1.44345000E-04

0,1668005134.7004278,-1.51569000E-04

0,1668005135.2204278,-1.52027000E-04

0,1668005135.7494278,-1.48301000E-04

0,1668005136.2794278,-1.48051000E-04

0,1668005136.7994277,-1.49976000E-04

0,1668005137.3294277,-1.48457000E-04

0,1668005137.8494277,-1.48748000E-04

0,1668005138.379428,-1.46750000E-04

0,1668005138.899428,-1.47353000E-04

0,1668005139.4294276,-1.49040000E-04

0,1668005139.9494276,-1.47551000E-04

0,1668005140.4734278,-1.46417000E-04

0,1668005141.0034277,-1.44200000E-04

0,1668005141.5234277,-1.43908000E-04

0,1668005142.0534277,-1.42597000E-04

0,1668005142.5734277,-1.42066000E-04

0,1668005143.103428,-1.42399000E-04

0,1668005143.6234279,-1.43325000E-04

0,1668005144.1534276,-1.42513000E-04

0,1668005144.6834278,-1.42586000E-04

0,1668005145.2034278,-1.36185000E-04

