i,t_v,tensión(V)
0,1668010698.5978093,+1.20585800E-03

0,1668010699.1278093,+1.20551400E-03

0,1668010699.6478093,+1.20551400E-03

0,1668010700.1778095,+1.20506700E-03

0,1668010700.6978095,+1.20444200E-03

0,1668010701.2278092,+1.20394200E-03

0,1668010701.7478092,+1.20311000E-03

0,1668010702.2778094,+1.20206900E-03

0,1668010702.7978094,+1.20099700E-03

0,1668010703.3278093,+1.20127800E-03

0,1668010703.8478093,+1.20091400E-03

0,1668010704.3778095,+1.20107000E-03

0,1668010704.8988094,+1.20094500E-03

0,1668010705.4288094,+1.20080900E-03

0,1668010705.9488094,+1.20062200E-03

0,1668010706.4788094,+1.20037200E-03

0,1668010706.9988093,+1.20032000E-03

0,1668010707.5298095,+1.20001800E-03

0,1668010708.0498095,+1.19996600E-03

0,1668010708.5798092,+1.19978900E-03

0,1668010709.0998092,+1.19995600E-03

0,1668010709.6298094,+1.19975800E-03

0,1668010710.1598094,+1.19960200E-03

0,1668010710.6818094,+1.19401300E-03

0,1668010711.2118094,+1.19666700E-03

0,1668010711.7318094,+1.17198800E-03

0,1668010712.2618093,+1.15558400E-03

0,1668010712.7818093,+1.14702900E-03

0,1668010713.3118093,+1.15890500E-03

0,1668010713.8418095,+1.16696100E-03

0,1668010714.3618095,+1.16122600E-03

0,1668010714.8918092,+1.15525100E-03

0,1668010715.4118092,+1.15354400E-03

0,1668010715.9418094,+1.17598500E-03

0,1668010716.4718094,+1.17919100E-03

0,1668010716.9918094,+1.18733000E-03

0,1668010717.5218093,+1.18463500E-03

0,1668010718.0418093,+1.18707000E-03

0,1668010718.5718093,+1.14963100E-03

0,1668010719.0918093,+8.44994000E-04

0,1668010719.6218095,+8.68819000E-04

0,1668010720.1518092,+8.82486000E-04

0,1668010720.6718092,+8.82840000E-04

0,1668010721.2018094,+8.86618000E-04

0,1668010721.7218094,+8.94893000E-04

0,1668010722.2518094,+9.26472000E-04

0,1668010722.7818093,+9.41617000E-04

0,1668010723.3018093,+9.32873000E-04

0,1668010723.8318093,+9.25535000E-04

0,1668010724.3518093,+1.08423400E-03

0,1668010724.8818095,+1.06598800E-03

0,1668010725.4018095,+9.70355000E-04

0,1668010725.9268093,+9.84271000E-04

0,1668010726.4568095,+1.03223300E-03

0,1668010726.9768095,+9.61164000E-04

0,1668010727.5068092,+1.14957900E-03

0,1668010728.0268095,+1.14955800E-03

0,1668010728.5518093,+9.08809000E-04

0,1668010729.0818095,+2.94067800E-03

0,1668010729.6018095,+8.90240000E-05

0,1668010730.1318092,+3.85120000E-05

0,1668010730.6518092,+2.33359000E-04

0,1668010731.1698093,+2.16320000E-04

0,1668010731.7078092,-1.48082000E-04

0,1668010732.2278092,-2.06995600E-03

0,1668010732.7578094,+1.48474300E-03

0,1668010733.2878094,+1.05251900E-03

0,1668010733.8078094,+1.14789300E-03

0,1668010734.3378093,+1.09470500E-03

0,1668010734.8578093,+1.10442700E-03

0,1668010735.3878093,+1.15642800E-03

0,1668010735.9078093,+1.04915700E-03

0,1668010736.4378095,+1.08049700E-03

0,1668010736.9578094,+1.05833800E-03

0,1668010737.4878092,+1.08842900E-03

0,1668010738.0078092,+1.14013800E-03

0,1668010738.5378094,+1.00289200E-03

0,1668010739.0578094,+9.24505000E-04

0,1668010739.5878093,+9.52785000E-04

0,1668010740.1078093,+9.90183000E-04

0,1668010740.6378095,+9.33144000E-04

0,1668010741.1578095,+1.13521500E-03

0,1668010741.6878092,+9.56189000E-04

0,1668010742.2118094,+1.15651100E-03

0,1668010742.7418094,+1.15712500E-03

0,1668010743.2618093,+1.15190000E-03

0,1668010743.7918093,+1.15598000E-03

0,1668010744.3118093,+1.15645900E-03

0,1668010744.8418095,+1.15564700E-03

0,1668010745.3618095,+1.15512600E-03

0,1668010745.8928094,+1.15391900E-03

0,1668010746.4128094,+1.15347200E-03

0,1668010746.9428093,+1.15236800E-03

0,1668010747.4728096,+1.15143100E-03

0,1668010747.9928095,+1.15017200E-03

0,1668010748.5228093,+1.14877700E-03

0,1668010749.0498095,+1.14751800E-03

0,1668010749.5768094,+1.14606100E-03

0,1668010750.0968094,+1.14470800E-03

0,1668010750.6268094,+1.14370800E-03

0,1668010751.1358092,+1.14299000E-03

0,1668010751.6618094,+1.14214700E-03

0,1668010752.1998093,+1.14182400E-03

0,1668010752.7298095,+1.14114800E-03

0,1668010753.2498095,+1.14123100E-03

0,1668010753.7798092,+1.14209500E-03

0,1668010754.2998092,+1.14317700E-03

0,1668010754.8298094,+1.14422900E-03

0,1668010755.3598094,+1.14485300E-03

0,1668010755.8798094,+1.14483200E-03

0,1668010756.4098094,+1.14449900E-03

0,1668010756.9298093,+1.14351100E-03

0,1668010757.4598093,+1.14231400E-03

0,1668010757.9898095,+1.14169900E-03

0,1668010758.5098095,+1.14127300E-03

0,1668010759.0398092,+1.14074200E-03

0,1668010759.5598092,+1.14035700E-03

0,1668010760.0898094,+1.14071100E-03

0,1668010760.6198094,+1.14027400E-03

0,1668010761.1398094,+1.14006500E-03

0,1668010761.6698093,+1.14028400E-03

0,1668010762.1898093,+1.14007600E-03

0,1668010762.7198093,+1.13998200E-03

0,1668010763.2398093,+1.13976300E-03

0,1668010763.7698095,+1.13962800E-03

0,1668010764.2968094,+1.13886800E-03

0,1668010764.8168094,+1.13868100E-03

0,1668010765.3468094,+1.13778600E-03

0,1668010765.8668094,+1.13758800E-03

0,1668010766.3968096,+1.13740100E-03

0,1668010766.9178095,+1.13695300E-03

0,1668010767.4478092,+1.13656800E-03

0,1668010767.9678092,+1.13651600E-03

0,1668010768.4978094,+1.13637000E-03

0,1668010769.0178094,+1.13655800E-03

0,1668010769.5478094,+1.13597500E-03

0,1668010770.0688095,+1.13599600E-03

0,1668010770.5988092,+1.13595400E-03

0,1668010771.1188095,+1.13561000E-03

0,1668010771.6488094,+1.13572500E-03

0,1668010772.1688094,+1.13559000E-03

0,1668010772.6988094,+1.13581900E-03

0,1668010773.2288094,+1.13588100E-03

0,1668010773.7488096,+1.13540200E-03

0,1668010774.2788093,+1.13560000E-03

0,1668010774.7988093,+1.13556900E-03

0,1668010775.3288095,+1.13560000E-03

0,1668010775.8488095,+1.13561000E-03

0,1668010776.3788095,+1.13578700E-03

0,1668010776.8988094,+1.13547500E-03

0,1668010777.4288094,+1.13556900E-03

0,1668010777.9488094,+1.13546500E-03

0,1668010778.4788094,+1.13575600E-03

