i,t_v,tensión(V)
0,1668012566.6360493,+1.12637800E-03

0,1668012567.1620493,+1.12633700E-03

0,1668012567.6820493,+1.12593100E-03

0,1668012568.2140493,+1.12573300E-03

0,1668012568.7340493,+1.11776000E-03

0,1668012569.2660494,+1.12181900E-03

0,1668012569.7880492,+1.21301900E-03

0,1668012570.3080492,+1.12578500E-03

0,1668012570.8400493,+1.12674200E-03

0,1668012571.3600492,+1.11579300E-03

0,1668012571.892049,+1.11666700E-03

0,1668012572.412049,+1.11663600E-03

0,1668012572.9340494,+1.12798100E-03

0,1668012573.464049,+1.12806400E-03

0,1668012573.9860492,+1.12523300E-03

0,1668012574.5160491,+1.11951900E-03

0,1668012575.0380492,+1.11753100E-03

0,1668012575.5680492,+1.11744800E-03

0,1668012576.0900493,+1.11660500E-03

0,1668012576.612049,+1.11612600E-03

0,1668012577.1380494,+1.11591800E-03

0,1668012577.668049,+1.11554300E-03

0,1668012578.1900492,+1.11554300E-03

0,1668012578.7200491,+1.11574100E-03

0,1668012579.2420492,+1.11524100E-03

0,1668012579.7620492,+1.11993500E-03

0,1668012580.2940493,+1.12269400E-03

0,1668012580.816049,+1.11834300E-03

0,1668012581.3470492,+1.12238100E-03

0,1668012581.869049,+1.11805100E-03

0,1668012582.392049,+1.12653400E-03

0,1668012582.9240491,+1.11835300E-03

0,1668012583.445049,+1.11758300E-03

0,1668012583.977049,+1.11713500E-03

0,1668012584.497049,+1.11643800E-03

0,1668012585.0290492,+1.11623000E-03

0,1668012585.5490491,+1.11842600E-03

0,1668012586.0810492,+1.11634400E-03

0,1668012586.6010492,+1.11744800E-03

0,1668012587.133049,+1.11771800E-03

0,1668012587.653049,+1.11769700E-03

0,1668012588.185049,+1.11738500E-03

0,1668012588.705049,+1.11776000E-03

0,1668012589.237049,+1.11785400E-03

0,1668012589.757049,+1.11810300E-03

0,1668012590.2890491,+1.11681300E-03

0,1668012590.800049,+1.11677100E-03

0,1668012591.3230493,+1.11623000E-03

0,1668012591.8600492,+1.11723900E-03

0,1668012592.3900492,+1.11527200E-03

0,1668012592.912049,+1.11433500E-03

0,1668012593.4420493,+1.11548000E-03

0,1668012593.964049,+1.11827000E-03

0,1668012594.4940493,+1.11806200E-03

0,1668012595.0160491,+1.12186100E-03

0,1668012595.5460494,+1.12327600E-03

0,1668012596.0680492,+1.12699200E-03

0,1668012596.5980492,+1.12722100E-03

0,1668012597.1200492,+1.12553500E-03

