i,t_v,tensión(V)
0,1668007777.3978608,+1.09260300E-03

0,1668007777.9278238,+1.09243600E-03

0,1668007778.4477875,+1.09196800E-03

0,1668007778.9777503,+1.09193600E-03

0,1668007779.4977138,+1.09192600E-03

0,1668007780.0276766,+1.09165500E-03

0,1668007780.5476403,+1.09144700E-03

0,1668007781.0776033,+1.09158200E-03

0,1668007781.607566,+1.09154100E-03

0,1668007782.1275296,+1.08965700E-03

0,1668007782.6574926,+1.08913600E-03

0,1668007783.1774564,+1.09181100E-03

0,1668007783.7074192,+1.09060400E-03

0,1668007784.2373822,+1.09173900E-03

0,1668007784.7583458,+1.09298800E-03

0,1668007785.2823098,+1.09519400E-03

0,1668007785.8122728,+1.09483000E-03

0,1668007786.3322365,+1.09501700E-03

0,1668007786.8621993,+1.09439300E-03

0,1668007787.382163,+1.09936800E-03

0,1668007787.912126,+1.09809800E-03

0,1668007788.4330895,+1.09790000E-03

0,1668007788.9630523,+1.09817100E-03

0,1668007789.483016,+1.09740100E-03

0,1668007790.012979,+1.09749500E-03

0,1668007790.5329425,+1.09989900E-03

0,1668007791.0629053,+1.09935800E-03

0,1668007791.5878704,+1.10762200E-03

0,1668007792.107834,+1.10725800E-03

0,1668007792.6377969,+1.10606100E-03

0,1668007793.16776,+1.10581100E-03

0,1668007793.6877236,+1.10578000E-03

0,1668007794.2196877,+1.10573800E-03

0,1668007794.7396514,+1.09768200E-03

0,1668007795.269614,+1.09529800E-03

0,1668007795.7895777,+1.09533000E-03

0,1668007796.3195407,+1.07328400E-03

0,1668007796.8395045,+1.08017500E-03

0,1668007797.369467,+1.08723200E-03

0,1668007797.8894308,+1.07874900E-03

0,1668007798.4193938,+1.08125700E-03

0,1668007798.9393573,+1.08170500E-03

0,1668007799.4693203,+1.08000800E-03

0,1668007799.9892838,+1.07991500E-03

0,1668007800.5162473,+1.07449200E-03

0,1668007801.0462103,+1.06733100E-03

0,1668007801.566174,+1.06985000E-03

0,1668007802.0961368,+1.06991200E-03

0,1668007802.6161003,+1.07169200E-03

0,1668007803.1460633,+1.05888900E-03

0,1668007803.666027,+1.05633900E-03

0,1668007804.1959898,+1.06277200E-03

0,1668007804.7159534,+1.05896200E-03

0,1668007805.2469163,+1.06402100E-03

0,1668007805.76688,+1.05913900E-03

0,1668007806.2968428,+1.04686800E-03

0,1668007806.8168063,+1.04090300E-03

0,1668007807.3467693,+1.05569400E-03

0,1668007807.876732,+1.04938600E-03

0,1668007808.3966959,+1.04601400E-03

0,1668007808.9266589,+1.04759600E-03

0,1668007809.4476223,+1.04963600E-03

0,1668007809.977585,+1.05670400E-03

0,1668007810.4975488,+1.05120800E-03

0,1668007811.0275118,+1.04464000E-03

0,1668007811.547475,+1.04210000E-03

0,1668007812.077438,+1.04005000E-03

0,1668007812.6074011,+1.03973800E-03

0,1668007813.1313646,+1.04239200E-03

0,1668007813.6513283,+1.04051800E-03

0,1668007814.1812913,+1.04317200E-03

0,1668007814.7112541,+1.04904300E-03

0,1668007815.2312176,+1.04678400E-03

0,1668007815.7611806,+1.05309200E-03

0,1668007816.2811444,+1.05392400E-03

0,1668007816.8111072,+1.05382000E-03

0,1668007817.3410702,+1.05431000E-03

0,1668007817.8610334,+1.05511100E-03

0,1668007818.3909965,+1.05575600E-03

0,1668007818.9109602,+1.05813000E-03

0,1668007819.440923,+1.05817100E-03

0,1668007819.970886,+1.05756700E-03

0,1668007820.4908495,+1.05789000E-03

0,1668007821.0208123,+1.05743200E-03

0,1668007821.540776,+1.05717200E-03

0,1668007822.070739,+1.05733800E-03

0,1668007822.5907025,+1.05621400E-03

0,1668007823.1206653,+1.05562100E-03

0,1668007823.640629,+1.05451800E-03

0,1668007824.170592,+1.05196800E-03

0,1668007824.7005548,+1.05011500E-03

0,1668007825.2205184,+1.04730500E-03

0,1668007825.741482,+1.04576400E-03

0,1668007826.271445,+1.04572300E-03

0,1668007826.7914083,+1.04512900E-03

0,1668007827.3213713,+1.04489000E-03

0,1668007827.841335,+1.04403600E-03

0,1668007828.3712978,+1.04282900E-03

0,1668007828.8912613,+1.04246500E-03

0,1668007829.4212244,+1.04224600E-03

0,1668007829.949188,+1.04223600E-03

0,1668007830.4761515,+1.04128900E-03

0,1668007831.0031152,+1.03994600E-03

0,1668007831.523079,+1.03855100E-03

0,1668007832.0530417,+1.03742700E-03

0,1668007832.5730052,+1.03765600E-03

0,1668007833.1029682,+1.03776000E-03

0,1668007833.6259317,+1.03553300E-03

0,1668007834.1458955,+1.03387800E-03

0,1668007834.6758583,+1.03238900E-03

0,1668007835.2058213,+1.03088000E-03

0,1668007835.7257848,+1.03125500E-03

0,1668007836.2557476,+1.03413800E-03

0,1668007836.7757113,+1.03613600E-03

0,1668007837.3056743,+1.03702100E-03

0,1668007837.8256378,+1.03881100E-03

0,1668007838.3556006,+1.03986300E-03

0,1668007838.8755643,+1.04064300E-03

0,1668007839.4055274,+1.04160100E-03

0,1668007839.9254906,+1.04231900E-03

0,1668007840.4554536,+1.04296400E-03

0,1668007840.9754174,+1.04325600E-03

0,1668007841.5053802,+1.04296400E-03

0,1668007842.0253437,+1.04296400E-03

0,1668007842.5553067,+1.04247500E-03

0,1668007843.0752704,+1.04198600E-03

0,1668007843.6052332,+1.04157000E-03

0,1668007844.1351962,+1.04063300E-03

0,1668007844.6551597,+1.04023700E-03

0,1668007845.1851225,+1.03966500E-03

0,1668007845.7050862,+1.03931100E-03

0,1668007846.2330499,+1.03903000E-03

0,1668007846.7610135,+1.03867600E-03

0,1668007847.287977,+1.03865500E-03

0,1668007847.8079407,+1.03877000E-03

0,1668007848.3379035,+1.03881100E-03

0,1668007848.8678663,+1.03905100E-03

0,1668007849.38783,+1.03904000E-03

0,1668007849.9027941,+1.03847800E-03

0,1668007850.4397593,+1.03837400E-03

0,1668007850.969722,+1.03770800E-03

0,1668007851.4896858,+1.03667800E-03

0,1668007852.0196488,+1.03584500E-03

0,1668007852.5456123,+1.03495000E-03

0,1668007853.0655758,+1.03422100E-03

0,1668007853.5955386,+1.03374200E-03

0,1668007854.1255016,+1.03361700E-03

0,1668007854.6454654,+1.03334700E-03

0,1668007855.1754282,+1.03263900E-03

0,1668007855.6953917,+1.03243100E-03

0,1668007856.2293556,+1.03200400E-03

0,1668007856.7493188,+1.03127600E-03

0,1668007857.2792819,+1.03081800E-03

0,1668007857.7992456,+1.03042200E-03

0,1668007858.3292084,+1.02974600E-03

0,1668007858.8591714,+1.02958900E-03

0,1668007859.379135,+1.02932900E-03

0,1668007859.9090977,+1.02924600E-03

0,1668007860.4290614,+1.02909000E-03

0,1668007860.9590244,+1.02877800E-03

0,1668007861.4789877,+1.02840300E-03

