i,t_v,Resistencia(Ohms)
0,1669215973.416992,+1.25465990E+02
0,1669215973.8574219,+1.25466300E+02
0,1669215974.2978513,+1.25467650E+02
0,1669215974.7373047,+1.25469110E+02
0,1669215975.1787107,+1.25469420E+02
0,1669215975.6152344,+1.25468690E+02
0,1669215976.0498044,+1.25466710E+02
0,1669215976.491211,+1.25464840E+02
0,1669215976.9277344,+1.25468280E+02
0,1669215977.3642578,+1.25467240E+02
0,1669215977.8046875,+1.25465150E+02
0,1669215978.2402341,+1.25457250E+02
0,1669215978.6816406,+1.25456000E+02
0,1669215979.1171875,+1.25460890E+02
0,1669215979.5556638,+1.25462660E+02
0,1669215979.993164,+1.25462660E+02
0,1669215980.4316406,+1.25460790E+02
0,1669215980.8720703,+1.25456420E+02
0,1669215981.3115234,+1.25454440E+02
0,1669215981.7529294,+1.25452150E+02
0,1669215982.1923828,+1.25452150E+02
0,1669215982.6308594,+1.25452460E+02
0,1669215983.071289,+1.25452980E+02
0,1669215983.5117188,+1.25452980E+02
0,1669215983.9511719,+1.25452260E+02
0,1669215984.3876953,+1.25452050E+02
0,1669215984.8310547,+1.25454540E+02
0,1669215985.2695312,+1.25453710E+02
0,1669215985.7080076,+1.25447780E+02
0,1669215986.1455078,+1.25451110E+02
0,1669215986.584961,+1.25432700E+02
0,1669215987.0234375,+1.25432280E+02
0,1669215987.4658203,+1.25434570E+02
0,1669215987.9082031,+1.25326490E+02
0,1669215988.3457031,+1.25376530E+02
0,1669215988.785156,+1.25390570E+02
0,1669215989.2265625,+1.25401490E+02
0,1669215989.663086,+1.25393590E+02
0,1669215990.1035156,+1.25374130E+02
0,1669215990.5439453,+1.25326910E+02
0,1669215990.9873047,+1.25058630E+02
0,1669215991.4248047,+1.25376110E+02
0,1669215991.8642578,+1.25389010E+02
0,1669215992.303711,+1.25335960E+02
0,1669215992.7451172,+1.25298920E+02
0,1669215993.1855466,+1.25372260E+02
0,1669215993.6210938,+1.25394520E+02
0,1669215994.0673828,+1.25398270E+02
0,1669215994.5039062,+1.25399000E+02
0,1669215994.9453125,+1.25397750E+02
0,1669215995.3828125,+1.25393790E+02
0,1669215995.8242185,+1.25389110E+02
0,1669215996.2636719,+1.25368720E+02
0,1669215996.703125,+1.25331590E+02
0,1669215997.1464841,+1.25282490E+02
0,1669215997.5839844,+1.25270940E+02
0,1669215998.024414,+1.25262410E+02
0,1669215998.4638672,+1.25301730E+02
0,1669215998.9052734,+1.25324310E+02
0,1669215999.3398435,+1.25352810E+02
0,1669215999.78125,+1.25368000E+02
0,1669216000.21875,+1.25363000E+02
0,1669216000.65332,+1.25345110E+02
0,1669216001.09375,+1.25313690E+02
0,1669216001.5302732,+1.25300590E+02
0,1669216001.9667969,+1.25306930E+02
0,1669216002.40625,+1.25311410E+02
0,1669216002.850586,+1.25307770E+02
0,1669216003.2890625,+1.25307250E+02
0,1669216003.7314453,+1.25280300E+02
0,1669216004.1738281,+1.25279370E+02
0,1669216004.620117,+1.25288420E+02
0,1669216005.0585938,+1.25268760E+02
0,1669216005.5,+1.25198230E+02
0,1669216005.9453125,+1.25175450E+02
0,1669216006.3847656,+1.25156310E+02
0,1669216006.8242185,+1.25141530E+02
0,1669216007.2626953,+1.25117300E+02
0,1669216007.7001953,+1.25101070E+02
0,1669216008.140625,+1.25110540E+02
0,1669216008.5791013,+1.25111470E+02
0,1669216009.0205078,+1.25107000E+02
0,1669216009.459961,+1.25098990E+02
0,1669216009.8984373,+1.25075790E+02
0,1669216010.3417969,+1.25058210E+02
0,1669216010.7792969,+1.25052390E+02
0,1669216011.2177732,+1.25050720E+02
0,1669216011.6582031,+1.25051760E+02
