i,t_v,Resistencia(Ohms)
0,1669214658.2285156,+1.27548260E+02
0,1669214658.6660154,+1.27544620E+02
0,1669214659.1064453,+1.27545980E+02
0,1669214659.5419922,+1.27551380E+02
0,1669214659.984375,+1.27637210E+02
0,1669214660.4189453,+1.27619940E+02
0,1669214660.8554688,+1.27618580E+02
0,1669214661.2939453,+1.29015110E+02
0,1669214661.7324219,+1.27970080E+02
0,1669214662.1708984,+1.34183260E+02
0,1669214662.6103516,+1.30222320E+02
0,1669214663.0478516,+1.28860640E+02
0,1669214663.4921875,+1.28623250E+02
0,1669214663.9326172,+1.27694630E+02
0,1669214664.3720703,+1.27714500E+02
0,1669214664.8115234,+1.27765990E+02
0,1669214665.2490234,+1.27918380E+02
0,1669214665.6865234,+1.28905890E+02
0,1669214666.1269531,+1.29806640E+02
0,1669214666.5673828,+1.32125340E+02
0,1669214667.0058594,+1.28400540E+02
0,1669214667.444336,+1.27470040E+02
0,1669214667.883789,+1.27559600E+02
0,1669214668.3222656,+1.27579470E+02
0,1669214668.7597654,+1.27483670E+02
0,1669214669.1992188,+1.27472330E+02
0,1669214669.6386719,+1.27384110E+02
0,1669214670.0800781,+1.27276140E+02
0,1669214670.5205078,+1.27114270E+02
0,1669214670.9638672,+1.27071000E+02
0,1669214671.4023438,+1.27054880E+02
0,1669214671.84375,+1.27037610E+02
0,1669214672.285156,+1.27050200E+02
0,1669214672.720703,+1.27086080E+02
0,1669214673.1601562,+1.27103770E+02
0,1669214673.5996094,+1.27092120E+02
0,1669214674.0390625,+1.27035420E+02
0,1669214674.4794922,+1.27028560E+02
0,1669214674.9179688,+1.27059560E+02
0,1669214675.3574219,+1.27072350E+02
0,1669214675.7958984,+1.27104700E+02
0,1669214676.2363281,+1.27098250E+02
0,1669214676.6738281,+1.27032620E+02
0,1669214677.1132812,+1.26999950E+02
0,1669214677.5527341,+1.27045100E+02
0,1669214677.9921875,+1.27006300E+02
0,1669214678.4335935,+1.26951790E+02
0,1669214678.8720703,+1.26927450E+02
0,1669214679.314453,+1.26904250E+02
0,1669214679.7490234,+1.26888540E+02
0,1669214680.1884763,+1.26887710E+02
0,1669214680.6279297,+1.26882300E+02
0,1669214681.0703125,+1.26860660E+02
0,1669214681.5097656,+1.26847240E+02
0,1669214681.9501953,+1.26840270E+02
0,1669214682.3896484,+1.26833100E+02
0,1669214682.8291016,+1.26829350E+02
0,1669214683.2705078,+1.26832370E+02
0,1669214683.711914,+1.26852030E+02
0,1669214684.1523438,+1.26928280E+02
0,1669214684.5917966,+1.27018360E+02
0,1669214685.0332031,+1.27134770E+02
0,1669214685.477539,+1.27248050E+02
0,1669214685.9179688,+1.27299130E+02
0,1669214686.356445,+1.27146310E+02
0,1669214686.7949216,+1.26985910E+02
0,1669214687.2333982,+1.26823630E+02
0,1669214687.6708984,+1.26759760E+02
0,1669214688.109375,+1.26605180E+02
0,1669214688.5488281,+1.26557740E+02
0,1669214688.9873047,+1.26377260E+02
0,1669214689.4296875,+1.26340230E+02
0,1669214689.8691404,+1.26508960E+02
0,1669214690.307617,+1.26734900E+02
0,1669214690.7470703,+1.26808650E+02
0,1669214691.1865234,+1.26946790E+02
0,1669214691.6269531,+1.27089520E+02
0,1669214692.0703125,+1.27025330E+02
0,1669214692.5097656,+1.26995370E+02
0,1669214692.9472656,+1.26989130E+02
0,1669214693.3876953,+1.27116250E+02
0,1669214693.8261719,+1.27017430E+02
0,1669214694.2646484,+1.27033240E+02
0,1669214694.7050781,+1.27049880E+02
0,1669214695.1416016,+1.27045720E+02
0,1669214695.5810547,+1.27088480E+02
0,1669214696.0185547,+1.27113030E+02
0,1669214696.4580078,+1.27090560E+02
0,1669214696.8964844,+1.27080670E+02
0,1669214697.3330078,+1.27039480E+02
0,1669214697.7783203,+1.27075580E+02
0,1669214698.220703,+1.27054360E+02
0,1669214698.6640625,+1.27075370E+02
0,1669214699.102539,+1.27073180E+02
0,1669214699.5419922,+1.27010460E+02
0,1669214699.9824219,+1.26982270E+02
0,1669214700.4228516,+1.26973530E+02
0,1669214700.8613281,+1.26999540E+02
0,1669214701.3017578,+1.27004320E+02
0,1669214701.741211,+1.27045310E+02
0,1669214702.1796875,+1.27060180E+02
0,1669214702.6191406,+1.27012230E+02
0,1669214703.0585938,+1.27043020E+02
0,1669214703.4970703,+1.27040940E+02
0,1669214703.9365234,+1.27027210E+02
0,1669214704.3779297,+1.26997040E+02
0,1669214704.8173828,+1.26989340E+02
0,1669214705.2548828,+1.26950640E+02
0,1669214705.696289,+1.26921200E+02
0,1669214706.1367185,+1.26934940E+02
0,1669214706.5771484,+1.26875750E+02
0,1669214707.0117188,+1.26870020E+02
0,1669214707.4453125,+1.26923290E+02
0,1669214707.890625,+1.26941280E+02
0,1669214708.328125,+1.26940450E+02
0,1669214708.7705078,+1.26938470E+02
0,1669214709.2080076,+1.26946070E+02
0,1669214709.6455078,+1.26953240E+02
0,1669214710.0839844,+1.27003380E+02
0,1669214710.5253906,+1.26986120E+02
0,1669214710.9667969,+1.27017740E+02
0,1669214711.4033203,+1.26976960E+02
0,1669214711.84375,+1.26963020E+02
0,1669214712.2841797,+1.26951480E+02
0,1669214712.7246094,+1.26931090E+02
0,1669214713.1640625,+1.26958130E+02
0,1669214713.6074216,+1.26891250E+02
0,1669214714.0517578,+1.26880220E+02
0,1669214714.4892578,+1.26810830E+02
0,1669214714.9326172,+1.26833300E+02
0,1669214715.3662107,+1.26891770E+02
0,1669214715.8046875,+1.26860970E+02
0,1669214716.2470703,+1.26809900E+02
0,1669214716.6884763,+1.26836220E+02
0,1669214717.1269531,+1.26859830E+02
0,1669214717.5634766,+1.26844230E+02
0,1669214718.0019531,+1.26902270E+02
0,1669214718.4414062,+1.26897490E+02
0,1669214718.8828125,+1.26917670E+02
0,1669214719.3222656,+1.26842980E+02
0,1669214719.7597654,+1.26796060E+02
0,1669214720.1992188,+1.26826020E+02
0,1669214720.6386719,+1.26836530E+02
0,1669214721.078125,+1.26850570E+02
0,1669214721.515625,+1.26898010E+02
0,1669214721.9541016,+1.26896760E+02
0,1669214722.3886716,+1.26904040E+02
0,1669214722.8251953,+1.26850360E+02
0,1669214723.2617188,+1.26822900E+02
0,1669214723.703125,+1.26831020E+02
0,1669214724.1386719,+1.26911630E+02
0,1669214724.5751953,+1.26936180E+02
0,1669214725.008789,+1.26923290E+02
0,1669214725.4433591,+1.26940450E+02
0,1669214725.8769531,+1.26937330E+02
0,1669214726.314453,+1.26960730E+02
0,1669214726.7490234,+1.26914340E+02
0,1669214727.1845703,+1.26942530E+02
0,1669214727.6269531,+1.26881990E+02
0,1669214728.0644531,+1.26952620E+02
0,1669214728.5,+1.26916730E+02
0,1669214728.9375,+1.26919750E+02
0,1669214729.3779297,+1.26912260E+02
0,1669214729.8125,+1.26921000E+02
0,1669214730.2499998,+1.26950960E+02
0,1669214730.6875,+1.26940870E+02
0,1669214731.1230469,+1.26912150E+02
0,1669214731.5576172,+1.26918600E+02
0,1669214731.993164,+1.26887290E+02
0,1669214732.4267578,+1.26935870E+02
0,1669214732.8623044,+1.26912880E+02
0,1669214733.2978513,+1.26913090E+02
0,1669214733.7353516,+1.26956370E+02
0,1669214734.171875,+1.26898740E+02
0,1669214734.6123047,+1.26950440E+02
0,1669214735.0507812,+1.26944090E+02
0,1669214735.4892578,+1.26895090E+02
0,1669214735.9306638,+1.26911110E+02
0,1669214736.3691404,+1.26850990E+02
0,1669214736.8085938,+1.26842150E+02
0,1669214737.2499998,+1.26820510E+02
0,1669214737.6904297,+1.26837150E+02
0,1669214738.1289062,+1.26807820E+02
0,1669214738.5683594,+1.26787010E+02
0,1669214739.006836,+1.26766310E+02
0,1669214739.4462888,+1.26790240E+02
0,1669214739.8857422,+1.26753310E+02
0,1669214740.3251953,+1.26754350E+02
0,1669214740.7675781,+1.26759340E+02
0,1669214741.2089844,+1.26738850E+02
0,1669214741.6513672,+1.26699010E+02
0,1669214742.09375,+1.26743950E+02
0,1669214742.5341797,+1.26714090E+02
0,1669214742.972656,+1.26755490E+02
0,1669214743.415039,+1.26801160E+02
0,1669214743.8535156,+1.26758720E+02
0,1669214744.291992,+1.26733650E+02
0,1669214744.7324219,+1.26736770E+02
0,1669214745.171875,+1.26710660E+02
0,1669214745.6132812,+1.26698380E+02
0,1669214746.055664,+1.26704310E+02
0,1669214746.4960938,+1.26704630E+02
0,1669214746.9375,+1.26688190E+02
0,1669214747.378906,+1.26692040E+02
0,1669214747.819336,+1.26684970E+02
0,1669214748.258789,+1.26690370E+02
0,1669214748.698242,+1.26680910E+02
0,1669214749.1376953,+1.26683090E+02
0,1669214749.5761719,+1.26682990E+02
0,1669214750.015625,+1.26626090E+02
