i,t_v,Resistencia(Ohms)
0,1668615370.7285156,+1.20021660E+02
0,1668615371.1699219,+1.20022180E+02
0,1668615371.6083984,+1.20020310E+02
0,1668615372.0507812,+1.20020930E+02
0,1668615372.4892578,+1.20019990E+02
0,1668615372.928711,+1.20019680E+02
0,1668615373.3662107,+1.20020200E+02
0,1668615373.8027344,+1.20016980E+02
0,1668615374.2373047,+1.20013860E+02
0,1668615374.6787107,+1.20013340E+02
0,1668615375.118164,+1.20011460E+02
0,1668615375.5605469,+1.20010630E+02
0,1668615375.9980466,+1.20008970E+02
0,1668615376.4335935,+1.20006890E+02
0,1668615376.8701172,+1.20004700E+02
0,1668615377.3085938,+1.20003660E+02
0,1668615377.7500002,+1.20002620E+02
0,1668615378.1865234,+1.20000330E+02
0,1668615378.6230469,+1.19999810E+02
0,1668615379.0585938,+1.19998670E+02
0,1668615379.4960938,+1.19995970E+02
0,1668615379.9326172,+1.19992840E+02
0,1668615380.3730469,+1.19992530E+02
0,1668615380.8095703,+1.19993680E+02
0,1668615381.2451172,+1.19993680E+02
0,1668615381.6826172,+1.19993050E+02
0,1668615382.120117,+1.19992840E+02
0,1668615382.5615234,+1.19992950E+02
0,1668615383.0019531,+1.19994820E+02
0,1668615383.4423828,+1.19994920E+02
0,1668615383.8828125,+1.19995440E+02
0,1668615384.321289,+1.19994720E+02
0,1668615384.758789,+1.19994090E+02
0,1668615385.2001953,+1.19992840E+02
0,1668615385.6386719,+1.19993050E+02
0,1668615386.0732422,+1.19991390E+02
0,1668615386.5078125,+1.19990140E+02
0,1668615386.9453125,+1.19987440E+02
0,1668615387.383789,+1.19988160E+02
0,1668615387.823242,+1.19990660E+02
0,1668615388.2617188,+1.19991080E+02
0,1668615388.6992188,+1.20005020E+02
0,1668615389.1435544,+1.20009590E+02
0,1668615389.5830078,+1.20018850E+02
0,1668615390.026367,+1.20020200E+02
0,1668615390.4648438,+1.20016980E+02
0,1668615390.9042966,+1.20018950E+02
0,1668615391.3457031,+1.20014070E+02
0,1668615391.785156,+1.20008760E+02
0,1668615392.2246094,+1.20011880E+02
0,1668615392.6669922,+1.20009900E+02
0,1668615393.102539,+1.20007300E+02
0,1668615393.5410156,+1.20007200E+02
0,1668615393.9785156,+1.20007200E+02
