i,t_v,Resistencia(Ohms)
0,1668616739.3984373,+1.37822270E+02
0,1668616739.834961,+1.37824250E+02
0,1668616740.2734375,+1.37823310E+02
0,1668616740.7128906,+1.37819150E+02
0,1668616741.1552734,+1.37823520E+02
0,1668616741.5976562,+1.37832780E+02
0,1668616742.038086,+1.37839750E+02
0,1668616742.472656,+1.37843590E+02
0,1668616742.9140625,+1.37845360E+02
0,1668616743.3554688,+1.37845670E+02
0,1668616743.7958984,+1.37845470E+02
0,1668616744.2304685,+1.37843910E+02
0,1668616744.6669922,+1.37842240E+02
0,1668616745.1074216,+1.37841510E+02
0,1668616745.5488281,+1.37839540E+02
0,1668616745.988281,+1.37835900E+02
0,1668616746.4296875,+1.37833190E+02
0,1668616746.8652341,+1.37830380E+02
0,1668616747.3027344,+1.37825290E+02
0,1668616747.7373047,+1.37820290E+02
0,1668616748.1796875,+1.37816650E+02
0,1668616748.6191406,+1.37806770E+02
0,1668616749.0605469,+1.37802090E+02
0,1668616749.4990234,+1.37765370E+02
0,1668616749.9394531,+1.37719600E+02
0,1668616750.3779297,+1.37705240E+02
0,1668616750.8134766,+1.37703470E+02
0,1668616751.2509766,+1.37693280E+02
0,1668616751.6904297,+1.37682880E+02
0,1668616752.1308594,+1.37707320E+02
0,1668616752.5751953,+1.37737390E+02
0,1668616753.0136716,+1.37769420E+02
0,1668616753.4550781,+1.37778990E+02
0,1668616753.8984373,+1.37787420E+02
0,1668616754.3408203,+1.37795740E+02
0,1668616754.78125,+1.37790330E+02
0,1668616755.220703,+1.37762980E+02
0,1668616755.6621091,+1.37754030E+02
0,1668616756.0996094,+1.37800630E+02
0,1668616756.5390625,+1.37816650E+02
0,1668616756.9814453,+1.37894980E+02
0,1668616757.4208982,+1.37945120E+02
0,1668616757.8583984,+1.37987770E+02
0,1668616758.3007812,+1.38001710E+02
0,1668616758.7382812,+1.38029800E+02
0,1668616759.1777344,+1.38026780E+02
0,1668616759.620117,+1.38064750E+02
0,1668616760.0625,+1.38060490E+02
0,1668616760.5009763,+1.38066930E+02
0,1668616760.9375,+1.38073700E+02
0,1668616761.3730469,+1.38107610E+02
0,1668616761.8115234,+1.38120300E+02
0,1668616762.2509766,+1.38092210E+02
0,1668616762.6904297,+1.38099700E+02
0,1668616763.1259766,+1.38091480E+02
0,1668616763.5615234,+1.38079420E+02
0,1668616763.9990234,+1.38071930E+02
0,1668616764.4384766,+1.38078690E+02
0,1668616764.8740234,+1.38024600E+02
0,1668616765.3261719,+1.38026990E+02
0,1668616765.7617188,+1.38087220E+02
0,1668616766.203125,+1.38111980E+02
0,1668616766.6425781,+1.38143500E+02
0,1668616767.0810547,+1.38149430E+02
0,1668616767.5205078,+1.38174600E+02
0,1668616767.9638672,+1.38173870E+02
0,1668616768.4023438,+1.38168980E+02
0,1668616768.8457031,+1.38144020E+02
0,1668616769.2822263,+1.38134970E+02
0,1668616769.7226562,+1.38172310E+02
