i,t_v,Resistencia(Ohms)
0,1669217045.7734375,+1.22703410E+02
0,1669217046.2216797,+1.22696540E+02
0,1669217046.6621091,+1.22696020E+02
0,1669217047.100586,+1.22697170E+02
0,1669217047.5419922,+1.22699460E+02
0,1669217047.9804688,+1.22703830E+02
0,1669217048.4199219,+1.22711210E+02
0,1669217048.859375,+1.22722030E+02
0,1669217049.2978513,+1.22729940E+02
0,1669217049.7373047,+1.22735240E+02
0,1669217050.175781,+1.22740130E+02
0,1669217050.6123047,+1.22740550E+02
0,1669217051.0498044,+1.22739190E+02
0,1669217051.4873047,+1.22738570E+02
0,1669217051.9238281,+1.22744190E+02
0,1669217052.3603516,+1.22748870E+02
0,1669217052.7949216,+1.22753240E+02
0,1669217053.2324219,+1.22755840E+02
0,1669217053.6708984,+1.22757500E+02
0,1669217054.1123047,+1.22757290E+02
0,1669217054.5517578,+1.22757290E+02
0,1669217054.9921875,+1.22758020E+02
0,1669217055.4277344,+1.22758130E+02
0,1669217055.8701172,+1.22759270E+02
0,1669217056.307617,+1.22759060E+02
0,1669217056.7470703,+1.22759370E+02
0,1669217057.1855466,+1.22760100E+02
0,1669217057.6279297,+1.22757810E+02
0,1669217058.0703125,+1.22748450E+02
0,1669217058.5058594,+1.22743350E+02
0,1669217058.9482422,+1.22735550E+02
0,1669217059.3867188,+1.22724840E+02
0,1669217059.8251953,+1.22724940E+02
0,1669217060.2675781,+1.22729830E+02
0,1669217060.7080076,+1.22732950E+02
0,1669217061.1484375,+1.22732640E+02
0,1669217061.5859375,+1.22733160E+02
0,1669217062.0322266,+1.22736490E+02
0,1669217062.472656,+1.22741900E+02
0,1669217062.9111326,+1.22744710E+02
0,1669217063.3486328,+1.22746680E+02
0,1669217063.790039,+1.22748450E+02
0,1669217064.227539,+1.22746060E+02
0,1669217064.663086,+1.22740440E+02
0,1669217065.102539,+1.22692800E+02
0,1669217065.5400388,+1.22714120E+02
0,1669217065.9814453,+1.22736180E+02
0,1669217066.4189453,+1.22539360E+02
0,1669217066.8583984,+1.22219800E+02
