i,t_v,Resistencia(Ohms)
0,1669220972.0751953,+1.23307270E+02
0,1669220972.515625,+1.23308000E+02
0,1669220972.9589841,+1.23307060E+02
0,1669220973.3955078,+1.23306340E+02
0,1669220973.8369138,+1.23306960E+02
0,1669220974.2714844,+1.23307270E+02
0,1669220974.709961,+1.23306340E+02
0,1669220975.147461,+1.23306540E+02
0,1669220975.5859375,+1.23305610E+02
0,1669220976.022461,+1.23305190E+02
0,1669220976.4609375,+1.23306440E+02
0,1669220976.901367,+1.23305290E+02
0,1669220977.3378906,+1.23305500E+02
0,1669220977.7724607,+1.23305290E+02
0,1669220978.2080076,+1.23304770E+02
0,1669220978.6464841,+1.23303840E+02
0,1669220979.0859375,+1.23300610E+02
0,1669220979.5283203,+1.23278770E+02
0,1669220979.9677734,+1.23267120E+02
0,1669220980.401367,+1.23252660E+02
0,1669220980.84375,+1.23244750E+02
0,1669220981.2822263,+1.23241630E+02
0,1669220981.7226562,+1.23244960E+02
0,1669220982.1572266,+1.23247770E+02
0,1669220982.5976562,+1.23253590E+02
0,1669220983.0371091,+1.23266080E+02
0,1669220983.4746094,+1.23266700E+02
0,1669220983.9179688,+1.23252030E+02
0,1669220984.356445,+1.23266180E+02
0,1669220984.7958984,+1.23278140E+02
0,1669220985.234375,+1.23269820E+02
0,1669220985.6738281,+1.23244540E+02
0,1669220986.1152344,+1.23233520E+02
0,1669220986.5546875,+1.23231230E+02
0,1669220986.9980466,+1.23220310E+02
0,1669220987.4365234,+1.23204910E+02
0,1669220987.8769531,+1.23198570E+02
0,1669220988.3183594,+1.23187440E+02
0,1669220988.758789,+1.23179840E+02
0,1669220989.198242,+1.23187750E+02
0,1669220989.6386719,+1.23218540E+02
0,1669220990.0800781,+1.23279080E+02
0,1669220990.517578,+1.23293960E+02
0,1669220990.9560544,+1.23297080E+02
0,1669220991.3964844,+1.23304460E+02
0,1669220991.8359375,+1.23291560E+02
0,1669220992.2763672,+1.23284590E+02
0,1669220992.7167969,+1.23288760E+02
0,1669220993.1542969,+1.23303320E+02
0,1669220993.59375,+1.23321000E+02
0,1669220994.0361328,+1.23326930E+02
0,1669220994.477539,+1.23339520E+02
0,1669220994.915039,+1.23386330E+02
0,1669220995.3544922,+1.23385080E+02
0,1669220995.7910156,+1.23417850E+02
0,1669220996.2333982,+1.23397770E+02
0,1669220996.671875,+1.23387680E+02
0,1669220997.1123047,+1.23393400E+02
0,1669220997.5507812,+1.23393820E+02
0,1669220997.9921875,+1.23416910E+02
0,1669220998.4316406,+1.23421700E+02
0,1669220998.8691404,+1.23465910E+02
0,1669220999.3095703,+1.23477350E+02
0,1669220999.7460938,+1.23673850E+02
0,1669221000.180664,+1.23614660E+02
0,1669221000.6142578,+1.23585950E+02
0,1669221001.0546875,+1.23563800E+02
0,1669221001.495117,+1.23582310E+02
0,1669221001.9355469,+1.23577530E+02
0,1669221002.3759766,+1.23590530E+02
0,1669221002.814453,+1.23616850E+02
0,1669221003.2548828,+1.23676770E+02
0,1669221003.6953125,+1.23667400E+02
0,1669221004.1357422,+1.23694450E+02
0,1669221004.5761719,+1.23715260E+02
0,1669221005.0136716,+1.23732840E+02
0,1669221005.4521484,+1.23763730E+02
