i,t_v,tensión(V)
0,1668614375.2070312,+1.24743430E+02
0,1668614375.6494138,+1.24742910E+02
0,1668614376.0878906,+1.24741350E+02
0,1668614376.5947263,+1.24740210E+02
0,1668614377.03125,+1.24739060E+02
0,1668614377.4755857,+1.24738340E+02
0,1668614377.9160156,+1.24735740E+02
0,1668614378.3574219,+1.24776300E+02
0,1668614378.7978513,+1.24803980E+02
0,1668614379.234375,+1.24811570E+02
0,1668614379.6767578,+1.24817390E+02
0,1668614380.1123047,+1.24812090E+02
0,1668614380.553711,+1.24803040E+02
0,1668614380.9921875,+1.24798460E+02
0,1668614381.428711,+1.24813650E+02
0,1668614381.8759766,+1.24792740E+02
0,1668614382.3134766,+1.24774330E+02
0,1668614382.7480469,+1.24765590E+02
0,1668614383.1845703,+1.24753940E+02
0,1668614383.625,+1.24745510E+02
0,1668614384.0615234,+1.24752800E+02
0,1668614384.5009763,+1.24686010E+02
0,1668614384.9375,+1.24392250E+02
0,1668614385.3779297,+1.24500640E+02
0,1668614385.8154297,+1.24566800E+02
0,1668614386.2509766,+1.24529970E+02
0,1668614386.6894531,+1.24527790E+02
0,1668614387.1289062,+1.24547350E+02
0,1668614387.5693357,+1.24532780E+02
0,1668614388.0078125,+1.24482960E+02
0,1668614388.4472656,+1.24469640E+02
0,1668614388.8876953,+1.24462670E+02
0,1668614389.323242,+1.24465580E+02
0,1668614389.7646484,+1.24468810E+02
0,1668614390.209961,+1.24467770E+02
0,1668614390.6494138,+1.24466210E+02
0,1668614391.0898438,+1.24460900E+02
0,1668614391.53125,+1.24452270E+02
0,1668614391.9716794,+1.24433650E+02
0,1668614392.413086,+1.24419710E+02
0,1668614392.8535156,+1.24401190E+02
0,1668614393.2939453,+1.24367590E+02
0,1668614393.7314453,+1.24286560E+02
0,1668614394.1728516,+1.24174730E+02
0,1668614394.6132812,+1.24047820E+02
0,1668614395.0546875,+1.24007360E+02
0,1668614395.4902344,+1.23984260E+02
0,1668614395.9326172,+1.23916440E+02
