i,t_v,tensión(V)
0,1668609213.6552734,+1.09558880E+02
0,1668609214.0917966,+1.09541200E+02
0,1668609214.5283203,+1.09543900E+02
0,1668609214.9667969,+1.09448930E+02
0,1668609215.40625,+1.09387860E+02
0,1668609215.8466794,+1.09394420E+02
0,1668609216.285156,+1.09365080E+02
0,1668609216.7246094,+1.09276350E+02
0,1668609217.1640625,+1.09180440E+02
0,1668609217.6035156,+1.09107830E+02
0,1668609218.0419922,+1.08926930E+02
0,1668609218.4824219,+1.08882100E+02
0,1668609218.9199219,+1.08851200E+02
0,1668609219.356445,+1.08880950E+02
0,1668609219.7978513,+1.08776510E+02
0,1668609220.234375,+1.08686110E+02
0,1668609220.6767578,+1.08646270E+02
0,1668609221.1191406,+1.08757160E+02
0,1668609221.55957,+1.08796280E+02
0,1668609221.9980466,+1.08751550E+02
0,1668609222.4355469,+1.08671860E+02
0,1668609222.8759766,+1.08661670E+02
0,1668609223.3115234,+1.08678620E+02
0,1668609223.7558591,+1.08686220E+02
0,1668609224.1933594,+1.08644090E+02
0,1668609224.6367185,+1.08619430E+02
0,1668609225.0751953,+1.08608930E+02
0,1668609225.5185547,+1.08583860E+02
0,1668609225.9550781,+1.08550780E+02
0,1668609226.3955078,+1.08549630E+02
0,1668609226.8369138,+1.08585840E+02
0,1668609227.274414,+1.08607890E+02
0,1668609227.7128906,+1.08609550E+02
0,1668609228.1523438,+1.08597380E+02
0,1668609228.5927734,+1.08592800E+02
0,1668609229.0341797,+1.08605290E+02
0,1668609229.46875,+1.08609550E+02
0,1668609229.913086,+1.08589270E+02
0,1668609230.350586,+1.08584380E+02
0,1668609230.7929688,+1.08594260E+02
0,1668609231.2324219,+1.08618290E+02
0,1668609231.6728516,+1.08651790E+02
0,1668609232.111328,+1.08636390E+02
0,1668609232.5517578,+1.08583230E+02
0,1668609232.9941406,+1.08523420E+02
0,1668609233.4355469,+1.08478380E+02
0,1668609233.8779294,+1.08475260E+02
0,1668609234.3203125,+1.08417940E+02
0,1668609234.7558591,+1.08312560E+02
0,1668609235.196289,+1.08233500E+02
0,1668609235.640625,+1.08236520E+02
0,1668609236.078125,+1.08260860E+02
0,1668609236.5146484,+1.08288640E+02
0,1668609236.9550781,+1.08173170E+02
0,1668609237.3896484,+1.07898750E+02
0,1668609237.8291016,+1.07874720E+02
0,1668609238.2705078,+1.07927670E+02
0,1668609238.709961,+1.07982080E+02
0,1668609239.1484375,+1.08241100E+02
0,1668609239.586914,+1.08078200E+02
0,1668609240.0292969,+1.07909160E+02
0,1668609240.4707031,+1.07957110E+02
0,1668609240.9140625,+1.07971360E+02
0,1668609241.3554688,+1.08147060E+02
0,1668609241.796875,+1.08170880E+02
0,1668609242.234375,+1.08087770E+02
0,1668609242.6728516,+1.07995390E+02
0,1668609243.1083984,+1.07965750E+02
0,1668609243.5449219,+1.07971050E+02
0,1668609243.988281,+1.07976360E+02
0,1668609244.428711,+1.07989880E+02
0,1668609244.8642578,+1.08021190E+02
0,1668609245.305664,+1.08074450E+02
0,1668609245.7441406,+1.08131250E+02
0,1668609246.1845703,+1.08158810E+02
0,1668609246.625,+1.08167030E+02
0,1668609247.0673828,+1.08180560E+02
0,1668609247.508789,+1.08172750E+02
0,1668609247.9541016,+1.08151740E+02
0,1668609248.3955078,+1.08015990E+02
0,1668609248.8359375,+1.07905410E+02
0,1668609249.2753906,+1.07891780E+02
0,1668609249.7158203,+1.07881170E+02
0,1668609250.15625,+1.07926320E+02
0,1668609250.59375,+1.07946290E+02
0,1668609251.0283203,+1.07719730E+02
0,1668609251.4746094,+1.07592820E+02
0,1668609251.913086,+1.07558280E+02
0,1668609252.3515625,+1.07551000E+02
0,1668609252.7890625,+1.07514700E+02
0,1668609253.2294922,+1.07488170E+02
0,1668609253.6689453,+1.07458210E+02
0,1668609254.1064453,+1.07497840E+02
0,1668609254.5478516,+1.07545900E+02
0,1668609254.988281,+1.07568890E+02
0,1668609255.428711,+1.07566190E+02
0,1668609255.8691404,+1.07589490E+02
0,1668609256.3095703,+1.07646390E+02
0,1668609256.7500002,+1.07675000E+02
0,1668609257.1884763,+1.07692680E+02
0,1668609257.625,+1.07688520E+02
0,1668609258.0625,+1.07673120E+02
0,1668609258.5019531,+1.07664390E+02
0,1668609258.9423828,+1.07649820E+02
0,1668609259.3828125,+1.07639940E+02
0,1668609259.823242,+1.07621220E+02
0,1668609260.2675781,+1.07591780E+02
0,1668609260.709961,+1.07587410E+02
0,1668609261.147461,+1.07639730E+02
0,1668609261.5878906,+1.07698400E+02
0,1668609262.0273435,+1.07703810E+02
0,1668609262.46875,+1.07689660E+02
0,1668609262.9091797,+1.07650660E+02
0,1668609263.350586,+1.07619550E+02
0,1668609263.7910156,+1.07607590E+02
0,1668609264.227539,+1.07625480E+02
0,1668609264.6679688,+1.07654820E+02
0,1668609265.1074216,+1.07675520E+02
0,1668609265.5488281,+1.07683320E+02
0,1668609265.9873047,+1.07681860E+02
0,1668609266.4267578,+1.07673330E+02
0,1668609266.868164,+1.07665430E+02
0,1668609267.3066406,+1.07663970E+02
0,1668609267.7460938,+1.07663550E+02
0,1668609268.191406,+1.07663350E+02
0,1668609268.6337888,+1.07666260E+02
0,1668609269.0732422,+1.07673640E+02
0,1668609269.5126953,+1.07684260E+02
0,1668609269.9511719,+1.07694970E+02
0,1668609270.3945312,+1.07708800E+02
0,1668609270.834961,+1.07719940E+02
0,1668609271.2734375,+1.07728470E+02
0,1668609271.7109375,+1.07733150E+02
0,1668609272.1572266,+1.07737100E+02
0,1668609272.5996094,+1.07737100E+02
0,1668609273.0439453,+1.07734080E+02
0,1668609273.484375,+1.07729400E+02
0,1668609273.9228516,+1.07725450E+02
0,1668609274.3632812,+1.07718790E+02
0,1668609274.8046875,+1.07703810E+02
0,1668609275.2421875,+1.07686340E+02
0,1668609275.6865234,+1.07676250E+02
0,1668609276.1240232,+1.07671250E+02
0,1668609276.5615234,+1.07663550E+02
0,1668609277.0019531,+1.07636920E+02
0,1668609277.4414062,+1.07589800E+02
0,1668609277.8798828,+1.07547460E+02
0,1668609278.3203125,+1.07544650E+02
0,1668609278.7597654,+1.07550380E+02
0,1668609279.2041013,+1.07556310E+02
0,1668609279.640625,+1.07561710E+02
0,1668609280.0800781,+1.07566400E+02
0,1668609280.5195312,+1.07574820E+02
0,1668609280.9580078,+1.07589280E+02
0,1668609281.3955078,+1.07632760E+02
0,1668609281.8330078,+1.07681550E+02
0,1668609282.2763672,+1.07720040E+02
0,1668609282.7167969,+1.07724620E+02
0,1668609283.1582031,+1.07713590E+02
0,1668609283.5986328,+1.07699550E+02
0,1668609284.0400388,+1.07685500E+02
0,1668609284.4794922,+1.07677390E+02
0,1668609284.9208982,+1.07670840E+02
0,1668609285.3583984,+1.07669280E+02
0,1668609285.791992,+1.07662310E+02
0,1668609286.2304685,+1.07649820E+02
0,1668609286.671875,+1.07632450E+02
0,1668609287.109375,+1.07614140E+02
0,1668609287.5527341,+1.07593750E+02
0,1668609287.9902344,+1.07588030E+02
0,1668609288.4277344,+1.07579190E+02
0,1668609288.868164,+1.07554950E+02
0,1668609289.3066406,+1.07537060E+02
0,1668609289.7460938,+1.07536120E+02
0,1668609290.1855466,+1.07539660E+02
0,1668609290.6240232,+1.07500760E+02
0,1668609291.0673828,+1.07456750E+02
0,1668609291.5058594,+1.07421590E+02
0,1668609291.9423828,+1.07393400E+02
0,1668609292.383789,+1.07376760E+02
0,1668609292.8242185,+1.07370100E+02
