i,t_v,Resistencia(Ohms)
0,1669219143.5126953,+1.26841520E+02
0,1669219143.9550781,+1.26843500E+02
0,1669219144.3925781,+1.26839860E+02
0,1669219144.8388672,+1.26835700E+02
0,1669219145.2753906,+1.26830600E+02
0,1669219145.7128906,+1.26824360E+02
0,1669219146.1484375,+1.26819570E+02
0,1669219146.584961,+1.26815200E+02
0,1669219147.024414,+1.26811980E+02
0,1669219147.461914,+1.26828420E+02
0,1669219147.9023438,+1.26869090E+02
0,1669219148.3476562,+1.26911320E+02
0,1669219148.788086,+1.26937540E+02
0,1669219149.2285156,+1.26963130E+02
0,1669219149.6689453,+1.26973840E+02
0,1669219150.1083984,+1.26972070E+02
0,1669219150.5439453,+1.26938370E+02
0,1669219150.9863281,+1.26911740E+02
0,1669219151.4228516,+1.26931820E+02
0,1669219151.859375,+1.26879070E+02
0,1669219152.3027344,+1.26853590E+02
0,1669219152.7451172,+1.26813020E+02
0,1669219153.1845703,+1.26854210E+02
0,1669219153.6230469,+1.26900300E+02
0,1669219154.0644531,+1.26919750E+02
0,1669219154.5,+1.26927130E+02
0,1669219154.9404294,+1.26926930E+02
0,1669219155.3798828,+1.26922870E+02
0,1669219155.821289,+1.26918190E+02
0,1669219156.2607422,+1.26914130E+02
0,1669219156.703125,+1.26909450E+02
0,1669219157.1416016,+1.26908100E+02
0,1669219157.584961,+1.26905390E+02
0,1669219158.024414,+1.26904460E+02
0,1669219158.461914,+1.26903420E+02
0,1669219158.901367,+1.26902170E+02
0,1669219159.3398435,+1.26899570E+02
0,1669219159.7783203,+1.26897380E+02
0,1669219160.2236328,+1.26895510E+02
0,1669219160.6621091,+1.26893220E+02
0,1669219161.1015627,+1.26890520E+02
0,1669219161.5400388,+1.26890100E+02
0,1669219161.9804688,+1.26882920E+02
0,1669219162.4199219,+1.26879490E+02
0,1669219162.8632812,+1.26878030E+02
0,1669219163.3017578,+1.26898110E+02
0,1669219163.7402341,+1.26918290E+02
0,1669219164.175781,+1.26926610E+02
0,1669219164.620117,+1.26925990E+02
0,1669219165.05957,+1.26927030E+02
0,1669219165.4990234,+1.26915070E+02
0,1669219165.9355469,+1.26920790E+02
0,1669219166.3701172,+1.26909350E+02
0,1669219166.8105466,+1.26905910E+02
0,1669219167.2519531,+1.26895930E+02
0,1669219167.6904297,+1.26885730E+02
0,1669219168.1308594,+1.26873670E+02
0,1669219168.5703125,+1.26872110E+02
0,1669219169.010742,+1.26865450E+02
0,1669219169.4541016,+1.26859410E+02
0,1669219169.8896484,+1.26848700E+02
0,1669219170.3330078,+1.26839230E+02
0,1669219170.7714844,+1.26833410E+02
0,1669219171.2060547,+1.26826750E+02
0,1669219171.6445312,+1.26821760E+02
0,1669219172.0830078,+1.26814160E+02
0,1669219172.5234375,+1.26807510E+02
0,1669219172.961914,+1.26809590E+02
0,1669219173.4023438,+1.26804910E+02
0,1669219173.8388672,+1.26794290E+02
0,1669219174.2783203,+1.26787740E+02
0,1669219174.7177732,+1.26786910E+02
0,1669219175.1591794,+1.26781190E+02
0,1669219175.5986328,+1.26773800E+02
0,1669219176.0371091,+1.26777340E+02
0,1669219176.477539,+1.26778070E+02
0,1669219176.9179688,+1.26771410E+02
0,1669219177.3583984,+1.26764130E+02
0,1669219177.7988281,+1.26754870E+02
0,1669219178.2373047,+1.26748000E+02
0,1669219178.680664,+1.26741970E+02
0,1669219179.1171875,+1.26738120E+02
0,1669219179.5566406,+1.26726890E+02
0,1669219179.9960938,+1.26718880E+02
0,1669219180.4365234,+1.26713680E+02
0,1669219180.875,+1.26709310E+02
0,1669219181.3164062,+1.26704110E+02
0,1669219181.7548828,+1.26703790E+02
0,1669219182.1923828,+1.26702750E+02
0,1669219182.6328125,+1.26700260E+02
0,1669219183.0722656,+1.26683200E+02
0,1669219183.5097656,+1.26662810E+02
0,1669219183.9501953,+1.26664060E+02
0,1669219184.3916013,+1.26664580E+02
0,1669219184.828125,+1.26666970E+02
0,1669219185.2646484,+1.26671340E+02
0,1669219185.7021484,+1.26671960E+02
0,1669219186.140625,+1.26670400E+02
0,1669219186.5791013,+1.26668840E+02
0,1669219187.0195312,+1.26666660E+02
0,1669219187.4580078,+1.26664680E+02
0,1669219187.8984373,+1.26662810E+02
0,1669219188.3369138,+1.26661980E+02
0,1669219188.7832031,+1.26658540E+02
0,1669219189.225586,+1.26646060E+02
0,1669219189.6660154,+1.26637220E+02
0,1669219190.104492,+1.26632640E+02
0,1669219190.5429685,+1.26626300E+02
0,1669219190.9873047,+1.26620780E+02
0,1669219191.4248047,+1.26619530E+02
0,1669219191.8662107,+1.26616930E+02
0,1669219192.305664,+1.26617250E+02
0,1669219192.7460938,+1.26615370E+02
0,1669219193.1855466,+1.26613920E+02
0,1669219193.6220703,+1.26612880E+02
0,1669219194.05957,+1.26610690E+02
0,1669219194.4990234,+1.26607470E+02
0,1669219194.9384766,+1.26602890E+02
0,1669219195.3759766,+1.26600290E+02
0,1669219195.8164062,+1.26593320E+02
0,1669219196.2548828,+1.26589160E+02
0,1669219196.6953125,+1.26585310E+02
0,1669219197.1367185,+1.26581040E+02
0,1669219197.5722654,+1.26577920E+02
0,1669219198.0117188,+1.26573450E+02
0,1669219198.4531252,+1.26570850E+02
0,1669219198.890625,+1.26567830E+02
0,1669219199.3330078,+1.26566590E+02
0,1669219199.7685544,+1.26564090E+02
0,1669219200.2050781,+1.26561900E+02
0,1669219200.640625,+1.26560450E+02
0,1669219201.0800781,+1.26556180E+02
0,1669219201.5136716,+1.26550150E+02
0,1669219201.9482422,+1.26543490E+02
0,1669219202.3857422,+1.26544530E+02
0,1669219202.821289,+1.26539440E+02
0,1669219203.2695312,+1.26534860E+02
0,1669219203.7089844,+1.26530590E+02
0,1669219204.1464841,+1.26527470E+02
0,1669219204.584961,+1.26523000E+02
0,1669219205.0253906,+1.26515820E+02
