i,t_v,Resistencia(Ohms)
0,1669211422.4375,+1.26814480E+02
0,1669211422.8769531,+1.26812810E+02
0,1669211423.314453,+1.26815310E+02
0,1669211423.756836,+1.26827890E+02
0,1669211424.1953125,+1.26834030E+02
0,1669211424.6328125,+1.26957510E+02
0,1669211425.0683594,+1.26946900E+02
0,1669211425.5039062,+1.26998910E+02
0,1669211425.9433591,+1.26942320E+02
0,1669211426.3808594,+1.26915900E+02
0,1669211426.8183594,+1.26936180E+02
0,1669211427.256836,+1.26930150E+02
0,1669211427.698242,+1.26938060E+02
0,1669211428.1357422,+1.26936500E+02
0,1669211428.578125,+1.26934000E+02
0,1669211429.0185547,+1.26935250E+02
0,1669211429.4570312,+1.26939410E+02
0,1669211429.897461,+1.26944820E+02
0,1669211430.3388672,+1.26974360E+02
0,1669211430.7802734,+1.27969770E+02
0,1669211431.2158203,+1.27871260E+02
0,1669211431.6513672,+1.27435920E+02
0,1669211432.0917966,+1.27403250E+02
0,1669211432.5322266,+1.27328150E+02
0,1669211432.972656,+1.27265730E+02
0,1669211433.413086,+1.27146110E+02
0,1669211433.8525388,+1.27124360E+02
0,1669211434.2929688,+1.27101380E+02
0,1669211434.7333984,+1.27055400E+02
0,1669211435.1728516,+1.27096590E+02
0,1669211435.6123047,+1.27128420E+02
0,1669211436.0517578,+1.27235050E+02
0,1669211436.4941406,+1.27336780E+02
0,1669211436.9335935,+1.27325550E+02
0,1669211437.375,+1.27351140E+02
0,1669211437.8105466,+1.27302140E+02
0,1669211438.2519531,+1.26035850E+02
0,1669211438.7001953,+1.26627230E+02
0,1669211439.1425781,+1.24456010E+02
0,1669211439.5810547,+1.25357800E+02
0,1669211440.0185547,+1.24949710E+02
0,1669211440.4560544,+1.24037310E+02
0,1669211440.899414,+1.23517710E+02
0,1669211441.3378906,+1.23319230E+02
0,1669211441.7802734,+1.23290840E+02
0,1669211442.2226562,+1.23647430E+02
0,1669211442.665039,+1.23833430E+02
0,1669211443.1035156,+1.24110240E+02
0,1669211443.5458984,+1.25173470E+02
0,1669211443.9863281,+1.24669890E+02
0,1669211444.4277344,+1.24622040E+02
0,1669211444.8652341,+1.24583440E+02
0,1669211445.305664,+1.24498660E+02
0,1669211445.7451172,+1.24462670E+02
0,1669211446.1826172,+1.24232050E+02
0,1669211446.6210938,+1.24255250E+02
0,1669211447.0644531,+1.24311320E+02
0,1669211447.5039062,+1.24287700E+02
0,1669211447.9365234,+1.24261590E+02
0,1669211448.3818357,+1.24017240E+02
0,1669211448.8203125,+1.24156210E+02
0,1669211449.2578125,+1.24116480E+02
0,1669211449.6972656,+1.24109400E+02
0,1669211450.1376953,+1.23992580E+02
0,1669211450.578125,+1.24026500E+02
0,1669211451.015625,+1.24141550E+02
0,1669211451.4550781,+1.24073000E+02
0,1669211451.8935547,+1.24067690E+02
0,1669211452.3330078,+1.23793380E+02
0,1669211452.774414,+1.23385190E+02
0,1669211453.2167966,+1.23543610E+02
0,1669211453.65625,+1.23767480E+02
0,1669211454.0898438,+1.24808860E+02
0,1669211454.53125,+1.23912070E+02
0,1669211454.9697266,+1.23640250E+02
0,1669211455.4082031,+1.23551420E+02
0,1669211455.8466794,+1.23592820E+02
0,1669211456.2890625,+1.23510020E+02
0,1669211456.7294922,+1.23673540E+02
0,1669211457.1708984,+1.23452910E+02
0,1669211457.609375,+1.22436480E+02
0,1669211458.0517578,+1.20764290E+02
0,1669211458.495117,+1.20632180E+02
0,1669211458.9345703,+1.20383140E+02
0,1669211459.375,+1.21544060E+02
0,1669211459.814453,+1.21748150E+02
0,1669211460.2499998,+1.22068240E+02
0,1669211460.6923828,+1.21628940E+02
0,1669211461.131836,+1.21901900E+02
0,1669211461.571289,+1.21737960E+02
0,1669211462.010742,+1.22192750E+02
0,1669211462.4511719,+1.22384050E+02
0,1669211462.8886716,+1.22540300E+02
0,1669211463.328125,+1.22012170E+02
0,1669211463.7685544,+1.22191710E+02
