i,t_v,Resistencia(Ohms)
0,1669208273.5771484,+1.25015040E+02
0,1669208274.0126953,+1.25017750E+02
0,1669208274.4482422,+1.25018580E+02
0,1669208274.8818357,+1.25019200E+02
0,1669208275.3154297,+1.24456740E+02
0,1669208275.7490234,+1.23024950E+02
0,1669208276.1826172,+1.22346920E+02
0,1669208276.6171875,+1.21888480E+02
0,1669208277.0527341,+1.21276190E+02
0,1669208277.4863281,+1.20301590E+02
0,1669208277.921875,+1.19544710E+02
0,1669208278.356445,+1.18938760E+02
0,1669208278.7890625,+1.18418330E+02
0,1669208279.2246094,+1.17989960E+02
0,1669208279.6582031,+1.17604960E+02
0,1669208280.09375,+1.17308910E+02
0,1669208280.5283203,+1.17009420E+02
0,1669208280.9638672,+1.16696410E+02
0,1669208281.3964844,+1.16419080E+02
0,1669208281.8310547,+1.16175360E+02
0,1669208282.2646484,+1.15969070E+02
0,1669208282.7001953,+1.15699860E+02
0,1669208283.1357422,+1.15444270E+02
0,1669208283.571289,+1.15194300E+02
0,1669208284.0078125,+1.14935900E+02
0,1669208284.4404294,+1.14702890E+02
0,1669208284.878906,+1.14497750E+02
0,1669208285.3203125,+1.14296570E+02
0,1669208285.758789,+1.14107770E+02
0,1669208286.1992188,+1.13929260E+02
0,1669208286.6386719,+1.13765110E+02
0,1669208287.078125,+1.13608450E+02
0,1669208287.5195312,+1.13460000E+02
0,1669208287.9580078,+1.13327690E+02
0,1669208288.397461,+1.13199320E+02
0,1669208288.8330078,+1.13067000E+02
0,1669208289.2695312,+1.12934890E+02
0,1669208289.7060547,+1.12805480E+02
0,1669208290.1464841,+1.12682010E+02
0,1669208290.586914,+1.12568410E+02
0,1669208291.022461,+1.12463550E+02
0,1669208291.459961,+1.12363480E+02
0,1669208291.899414,+1.12261850E+02
0,1669208292.3388672,+1.12160120E+02
0,1669208292.7763672,+1.12064830E+02
0,1669208293.2128906,+1.11976930E+02
0,1669208293.6523438,+1.11893400E+02
0,1669208294.0878906,+1.11805390E+02
0,1669208294.5322266,+1.11714060E+02
0,1669208294.96875,+1.11621790E+02
