i,t_v,tensión(V)
0,1668000971.1735234,-1.89841000E-04

0,1668000971.6935182,-1.89914000E-04

0,1668000972.223513,-1.89685000E-04

0,1668000972.7435076,-1.89820000E-04

0,1668000973.2735023,-1.90070000E-04

0,1668000973.793497,-1.90299000E-04

0,1668000974.3234918,-1.90101000E-04

0,1668000974.8434868,-1.90007000E-04

0,1668000975.3734815,-1.90059000E-04

0,1668000975.893476,-1.90080000E-04

0,1668000976.4234707,-1.89935000E-04

0,1668000976.9434657,-1.99042000E-04

0,1668000977.4734604,-1.89893000E-04

0,1668000977.9934552,-1.85261000E-04

0,1668000978.52345,-1.90268000E-04

0,1668000979.0494447,-1.90174000E-04

0,1668000979.5694394,-1.90039000E-04

0,1668000980.0994341,-1.90059000E-04

0,1668000980.619429,-1.90018000E-04

0,1668000981.1494236,-1.86416000E-04

0,1668000981.6694186,-1.91194000E-04

0,1668000982.1994133,-1.89830000E-04

0,1668000982.720408,-1.90465000E-04

0,1668000983.2404027,-1.89487000E-04

0,1668000983.7703974,-1.89768000E-04

0,1668000984.2903924,-1.89404000E-04

0,1668000984.8203871,-1.89768000E-04

0,1668000985.3403816,-1.89622000E-04

0,1668000985.8683765,-1.90174000E-04

0,1668000986.3953714,-1.90049000E-04

0,1668000986.9153662,-1.89924000E-04

0,1668000987.445361,-1.90330000E-04

0,1668000987.9653559,-1.90205000E-04

0,1668000988.4953504,-1.90268000E-04

0,1668000989.015345,-1.89987000E-04

0,1668000989.5453398,-1.89997000E-04

0,1668000990.0653348,-1.89997000E-04

0,1668000990.5953293,-1.89810000E-04

0,1668000991.1153243,-1.89706000E-04

0,1668000991.639319,-1.89393000E-04

0,1668000992.169314,-1.89508000E-04

0,1668000992.6893086,-1.89747000E-04

0,1668000993.2193034,-1.89581000E-04

0,1668000993.739298,-1.89893000E-04

0,1668000994.266293,-1.89893000E-04

0,1668000994.7862875,-1.90122000E-04

0,1668000995.3102825,-1.89310000E-04

0,1668000995.8402772,-1.89549000E-04

0,1668000996.3602722,-1.89529000E-04

0,1668000996.890267,-1.89383000E-04

0,1668000997.4142618,-1.89175000E-04

0,1668000997.9442565,-1.89383000E-04

0,1668000998.464251,-1.89300000E-04

0,1668000998.994246,-1.89008000E-04

0,1668000999.5142407,-1.89185000E-04

0,1668001000.0442355,-1.89300000E-04

0,1668001000.5642302,-1.88810000E-04

0,1668001001.094225,-1.88935000E-04

0,1668001001.6142197,-1.89445000E-04

0,1668001002.1442146,-1.89404000E-04

0,1668001002.6552095,-1.88748000E-04

0,1668001003.1982043,-1.88696000E-04

0,1668001003.7181988,-1.89008000E-04

0,1668001004.2481935,-1.87853000E-04

0,1668001004.7681885,-1.86354000E-04

0,1668001005.2981832,-1.87468000E-04

0,1668001005.8181777,-1.87884000E-04

0,1668001006.3481724,-1.87218000E-04

0,1668001006.8691673,-1.87613000E-04

0,1668001007.399162,-1.87145000E-04

0,1668001007.919157,-1.86510000E-04

0,1668001008.4491515,-1.87031000E-04

0,1668001008.9791462,-1.87478000E-04

0,1668001009.4991412,-1.87249000E-04

0,1668001010.029136,-1.87093000E-04

0,1668001010.5491304,-1.86958000E-04

0,1668001011.0791252,-1.87790000E-04

0,1668001011.60612,-1.86833000E-04

0,1668001012.123115,-1.86344000E-04

0,1668001012.6531098,-1.86760000E-04

0,1668001013.1831045,-1.85532000E-04

0,1668001013.7010992,-1.84252000E-04

0,1668001014.2310941,-1.83356000E-04

0,1668001014.7510889,-1.83273000E-04

0,1668001015.2810833,-1.83065000E-04

0,1668001015.811078,-1.83252000E-04

0,1668001016.331073,-1.83814000E-04

0,1668001016.8610678,-1.83960000E-04

0,1668001017.3810625,-1.83866000E-04

0,1668001017.9110572,-1.82950000E-04

0,1668001018.431052,-1.82097000E-04

0,1668001018.9610467,-1.82430000E-04

0,1668001019.4810414,-1.82597000E-04

0,1668001020.0110362,-1.82107000E-04

0,1668001020.5310311,-1.82378000E-04

0,1668001021.0610259,-1.82451000E-04

0,1668001021.5810204,-1.82586000E-04

0,1668001022.111015,-1.82586000E-04

0,1668001022.63801,-1.81982000E-04

0,1668001023.1590047,-1.82024000E-04

0,1668001023.6789997,-1.82420000E-04

0,1668001024.2099943,-1.83565000E-04

0,1668001024.729989,-1.83450000E-04

0,1668001025.2599838,-1.83398000E-04

0,1668001025.7799785,-1.82763000E-04

0,1668001026.3099732,-1.83741000E-04

0,1668001026.8309681,-1.84324000E-04

0,1668001027.3609629,-1.84012000E-04

0,1668001027.8809576,-1.84564000E-04

0,1668001028.410952,-1.84428000E-04

0,1668001028.930947,-1.84470000E-04

0,1668001029.450942,-1.83606000E-04

0,1668001029.9809368,-1.82597000E-04

0,1668001030.5009313,-1.82805000E-04

0,1668001031.030926,-1.82357000E-04

0,1668001031.550921,-1.80900000E-04

0,1668001032.0809157,-1.80078000E-04

0,1668001032.6009104,-1.80099000E-04

0,1668001033.1309052,-1.80681000E-04

0,1668001033.6509,-1.79266000E-04

0,1668001034.1808946,-1.77684000E-04

0,1668001034.7008893,-1.77142000E-04

0,1668001035.230884,-1.77371000E-04

0,1668001035.7608788,-1.76893000E-04

0,1668001036.2808735,-1.74561000E-04

0,1668001036.8108683,-1.75082000E-04

0,1668001037.330863,-1.75800000E-04

0,1668001037.860858,-1.75935000E-04

0,1668001038.3808525,-1.76820000E-04

0,1668001038.9108472,-1.77319000E-04

0,1668001039.4308422,-1.75925000E-04

0,1668001039.960837,-1.77038000E-04

0,1668001040.4808314,-1.78423000E-04

0,1668001041.0108263,-1.78881000E-04

0,1668001041.530821,-1.78777000E-04

0,1668001042.050816,-1.78756000E-04

0,1668001042.5808105,-1.78964000E-04

0,1668001043.1008053,-1.78933000E-04

0,1668001043.6308002,-1.78860000E-04

