i,t_v,tensión(V)
0,1668002348.6383917,-2.31079000E-04

0,1668002349.1583917,-2.31423000E-04

0,1668002349.6883917,-2.31319000E-04

0,1668002350.2083917,-2.32110000E-04

0,1668002350.7383919,-2.31902000E-04

0,1668002351.2583919,-2.32370000E-04

0,1668002351.7883916,-2.32682000E-04

0,1668002352.309392,-2.32974000E-04

0,1668002352.8393917,-2.32589000E-04

0,1668002353.369392,-2.32672000E-04

0,1668002353.889392,-2.32433000E-04

0,1668002354.4193916,-2.32328000E-04

0,1668002354.9393919,-2.32183000E-04

0,1668002355.4693918,-2.32401000E-04

0,1668002355.994392,-2.32620000E-04

0,1668002356.514392,-2.32485000E-04

0,1668002357.0443916,-2.32797000E-04

0,1668002357.5643916,-2.33119000E-04

0,1668002358.0943918,-2.33213000E-04

0,1668002358.6243918,-2.33338000E-04

0,1668002359.1443918,-2.33307000E-04

0,1668002359.6743917,-2.33192000E-04

0,1668002360.1943917,-2.33473000E-04

0,1668002360.7243917,-2.33557000E-04

0,1668002361.2443917,-2.32339000E-04

0,1668002361.774392,-2.32984000E-04

0,1668002362.2943919,-2.33234000E-04

0,1668002362.8243916,-2.33078000E-04

0,1668002363.3443916,-2.33244000E-04

0,1668002363.8743918,-2.33015000E-04

0,1668002364.3943918,-2.33536000E-04

0,1668002364.9243917,-2.33682000E-04

0,1668002365.4513917,-2.33203000E-04

0,1668002365.9723916,-2.33224000E-04

0,1668002366.5023918,-2.33369000E-04

0,1668002367.0223918,-2.33234000E-04

0,1668002367.5433917,-2.33161000E-04

0,1668002368.073392,-2.33286000E-04

0,1668002368.593392,-2.33546000E-04

0,1668002369.1233916,-2.31340000E-04

0,1668002369.6433918,-2.20379000E-04

0,1668002370.1733918,-2.33036000E-04

0,1668002370.6933918,-2.32547000E-04

0,1668002371.2233918,-2.33099000E-04

0,1668002371.7433918,-2.33921000E-04

0,1668002372.2663918,-2.33265000E-04

0,1668002372.8053918,-2.47150000E-04

0,1668002373.330392,-2.31319000E-04

0,1668002373.8553917,-2.33473000E-04

0,1668002374.3803916,-2.33057000E-04

0,1668002374.902392,-2.31527000E-04

0,1668002375.4323916,-2.34639000E-04

0,1668002375.9543917,-2.56435000E-04

0,1668002376.4843917,-2.34535000E-04

0,1668002377.0063918,-2.30788000E-04

0,1668002377.5263917,-2.25230000E-04

0,1668002378.0583918,-2.34493000E-04

0,1668002378.5783918,-2.34306000E-04

0,1668002379.1003916,-2.33401000E-04

0,1668002379.6303918,-2.34129000E-04

0,1668002380.1523917,-2.37449000E-04

0,1668002380.682392,-2.34348000E-04

0,1668002381.2043917,-2.33702000E-04

0,1668002381.7243917,-2.33952000E-04

0,1668002382.2563918,-2.34826000E-04

